[11-28 12:58:40]Log stream open success.
[11-28 13:02:23]online notice apprentice num:0
[11-28 13:02:23]online notice master num:0
[11-28 13:10:30]online notice apprentice num:0
[11-28 13:10:30]online notice master num:0
[11-28 13:14:52]online notice apprentice num:0
[11-28 13:14:52]online notice master num:0
[11-28 13:20:49]online notice apprentice num:0
[11-28 13:20:49]online notice master num:0
[11-28 13:22:56]online notice apprentice num:0
[11-28 13:22:56]online notice master num:0
[11-28 13:32:22]online notice apprentice num:0
[11-28 13:32:22]online notice master num:0
[11-28 13:32:41]online notice apprentice num:0
[11-28 13:32:41]online notice master num:0
[11-28 13:38:43]online notice apprentice num:0
[11-28 13:38:43]online notice master num:0
[11-28 13:41:30]online notice apprentice num:0
[11-28 13:41:30]online notice master num:0
[11-28 13:42:35]online notice apprentice num:0
[11-28 13:42:35]online notice master num:0
[11-28 13:44:26]online notice apprentice num:0
[11-28 13:44:26]online notice master num:0
[11-28 13:46:44]online notice apprentice num:0
[11-28 13:46:44]online notice master num:0
[11-28 13:47:54]online notice apprentice num:0
[11-28 13:47:54]online notice master num:0
[11-28 13:52:05]online notice apprentice num:0
[11-28 13:52:05]online notice master num:0
[11-28 15:12:55]online notice apprentice num:0
[11-28 15:12:55]online notice master num:0
[11-28 15:13:31]online notice apprentice num:0
[11-28 15:13:31]online notice master num:0
[11-28 17:09:29]online notice apprentice num:0
[11-28 17:09:29]online notice master num:0
[11-28 17:10:10]online notice apprentice num:0
[11-28 17:10:10]online notice master num:0
