[10-13 21:39:52]Log stream open success.
[10-13 21:54:04]online notice apprentice num:0
[10-13 21:54:04]online notice master num:0
[10-13 21:56:59]online notice apprentice num:0
[10-13 21:56:59]online notice master num:0
[10-13 22:16:15]online notice apprentice num:0
[10-13 22:16:15]online notice master num:0
[10-13 22:19:10]online notice apprentice num:0
[10-13 22:19:10]online notice master num:0
[10-13 22:48:28]online notice apprentice num:0
[10-13 22:48:28]online notice master num:0
[10-13 22:50:27]online notice apprentice num:0
[10-13 22:50:27]online notice master num:0
[10-13 22:55:22]online notice apprentice num:0
[10-13 22:55:22]online notice master num:0
[10-13 23:01:54]online notice apprentice num:0
[10-13 23:01:54]online notice master num:0
[10-13 23:04:49]online notice apprentice num:0
[10-13 23:04:49]online notice master num:0
[10-13 23:05:30]online notice apprentice num:0
[10-13 23:05:30]online notice master num:0
[10-13 23:06:08]online notice apprentice num:0
[10-13 23:06:08]online notice master num:0
[10-13 23:08:11]online notice apprentice num:0
[10-13 23:08:11]online notice master num:0
[10-13 23:10:04]online notice apprentice num:0
[10-13 23:10:04]online notice master num:0
[10-13 23:11:00]online notice apprentice num:0
[10-13 23:11:00]online notice master num:0
[10-13 23:25:09]online notice apprentice num:0
[10-13 23:25:09]online notice master num:0
[10-14 21:49:58]online notice apprentice num:0
[10-14 21:49:58]online notice master num:0
[10-14 22:58:22]online notice apprentice num:0
[10-14 22:58:22]online notice master num:0
[10-15 22:56:35]online notice apprentice num:0
[10-15 22:56:35]online notice master num:0
[10-15 23:18:03]online notice apprentice num:0
[10-15 23:18:03]online notice master num:0
[10-15 23:20:19]online notice apprentice num:0
[10-15 23:20:19]online notice master num:0
[10-15 23:20:52]online notice apprentice num:0
[10-15 23:20:52]online notice master num:0
[10-15 23:32:44]online notice apprentice num:0
[10-15 23:32:44]online notice master num:0
[10-15 23:33:29]online notice apprentice num:0
[10-15 23:33:29]online notice master num:0
[10-15 23:40:57]online notice apprentice num:0
[10-15 23:40:57]online notice master num:0
[10-15 23:45:53]online notice apprentice num:0
[10-15 23:45:53]online notice master num:0
