[11-13 16:37:19]Log stream open success.
[11-13 17:26:30](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-13 17:26:40](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-13 17:26:40](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-13 17:30:50](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 00:41:37](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 00:41:47](127.0.0.1):[yyy]select char[ly]begin paly...£¬	 online/total:1/0
[11-14 00:41:50](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 00:41:55](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:03:37](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:03:50](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:12:18](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:12:21](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:14:59](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:15:01](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:19:43](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:19:45](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:42:31](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:42:42](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:43:05](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:43:45](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:44:01](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:44:43](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:45:44](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:46:06](127.0.0.1):[yyy]select char[ly]begin paly...£¬	 online/total:1/0
[11-14 01:46:09](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 01:46:13](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 01:56:53](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 01:57:00](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 01:57:00](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-14 01:59:13](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 02:00:41](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 02:00:47](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 02:00:47](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-14 02:02:56](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 02:07:21](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 02:07:26](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 02:07:26](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-14 02:08:04](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 02:12:06](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 02:12:10](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 02:12:10](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-14 02:13:19](127.0.0.1):[yyy]logout,	 online/total:0/0
[11-14 02:42:52](127.0.0.1):[yyy]login success, 	 nline/total:1/0
[11-14 02:43:33](127.0.0.1):[yyy]select char[5765]begin paly...£¬	 online/total:1/0
[11-14 02:43:33](127.0.0.1):[yyy] char [5765]entry map server begin play...£¬	 online/total:1/1
[11-14 02:50:51](127.0.0.1):[yyy]logout,	 online/total:0/0
