[09-02 15:10:38]Log stream open success.
[09-02 15:17:33]online notice apprentice num:0
[09-02 15:17:33]online notice master num:0
[09-02 15:18:59]online notice apprentice num:0
[09-02 15:18:59]online notice master num:0
[09-02 15:21:41]online notice apprentice num:0
[09-02 15:21:41]online notice master num:0
[09-02 15:27:53]online notice apprentice num:0
[09-02 15:27:53]online notice master num:0
[09-02 15:29:40]online notice apprentice num:0
[09-02 15:29:40]online notice master num:0
[09-02 15:35:22]online notice apprentice num:0
[09-02 15:35:22]online notice master num:0
[09-02 15:39:34]online notice apprentice num:0
[09-02 15:39:34]online notice master num:0
[09-02 15:50:06]online notice apprentice num:0
[09-02 15:50:06]online notice master num:0
[09-02 15:50:31]online notice apprentice num:0
[09-02 15:50:31]online notice master num:0
[09-02 15:57:05]online notice apprentice num:0
[09-02 15:57:05]online notice master num:0
[09-02 16:03:56]online notice apprentice num:0
[09-02 16:03:56]online notice master num:0
[09-02 16:29:08]online notice apprentice num:0
[09-02 16:29:08]online notice master num:0
[09-02 16:34:44]online notice apprentice num:0
[09-02 16:34:44]online notice master num:0
[09-02 16:34:57]online notice apprentice num:0
[09-02 16:34:57]online notice master num:0
[09-02 16:37:23]online notice apprentice num:0
[09-02 16:37:23]online notice master num:0
[09-02 16:38:46]online notice apprentice num:0
[09-02 16:38:46]online notice master num:0
[09-02 16:44:58]online notice apprentice num:0
[09-02 16:44:58]online notice master num:0
[09-02 16:46:53]online notice apprentice num:0
[09-02 16:46:53]online notice master num:0
[09-02 16:49:34]online notice apprentice num:0
[09-02 16:49:34]online notice master num:0
[09-02 16:58:07]online notice apprentice num:0
[09-02 16:58:07]online notice master num:0
[09-02 17:01:08]online notice apprentice num:0
[09-02 17:01:08]online notice master num:0
[09-02 17:08:43]online notice apprentice num:0
[09-02 17:08:43]online notice master num:0
[09-02 17:17:13]online notice apprentice num:0
[09-02 17:17:13]online notice master num:0
[09-02 17:21:31]online notice apprentice num:0
[09-02 17:21:31]online notice master num:0
[09-02 17:50:18]online notice apprentice num:0
[09-02 17:50:18]online notice master num:0
