//序号	NPC名字	NPC类型	Chr索引ID	坐标起点	坐标终点	NPC面向	备用1	备用2	NPC脚本	消息處理	检测状态
1	海港指挥·零零零	1	453	9	13200,14200	13200,14200	180	圣战	128	0	star_talk001	0
2	海港指挥·零零一	1	453	9	15700,18300	15700,18300	180	圣战	128	0	star_talk002	0
3	海港指挥·零零二	1	453	9	18400,11000	18400,11000	180	圣战	128	0	star_talk003	0
4	海港指挥·零零三	1	453	9	43700,13500	43700,13500	180	圣战	128	0	star_talk004	0
5	海港指挥·零零四	1	453	9	49800,15200	49800,15200	180	圣战	128	0	star_talk005	0
6	海港指挥·零零五	1	453	9	46400,18600	46400,18600	180	圣战	128	0	star_talk006	0
7	海港指挥·零零六	1	453	9	26200,16400	26200,16400	180	圣战	128	0	star_talk007	0
8	海港指挥·零零七	1	453	9	34800,16000	34800,16000	180	圣战	128	0	star_talk008	0
9	海港指挥·幺幺零	1	453	9	11100,47600	11100,47600	180	圣战	128	0	star_talk009	0
10	海港指挥·幺幺幺	1	453	9	18600,49200	18600,49200	180	圣战	128	0	star_talk010	0
11	海港指挥·幺幺二	1	453	9	8600,44100	8400,44100	180	圣战	128	0	star_talk011	0
12	海港指挥·幺幺三	1	453	9	47200,44600	47200,44600	180	圣战	128	0	star_talk012	0
13	海港指挥·幺幺四	1	453	9	49200,47400	49200,47400	180	圣战	128	0	star_talk013	0
14	海港指挥·幺幺五	1	453	9	43400,50600	43400,50600	180	圣战	128	0	star_talk014	0
15	海港指挥·幺幺六	1	453	9	35600,46500	35600,46500	180	圣战	128	0	star_talk015	0
16	海港指挥·幺幺七	1	453	9	25600,46600	25600,46600	180	圣战	128	0	star_talk016	0
17	海军前线指挥官	1	798	10	31000,11300	31000,11300	180	圣战	128	0	roico_talk001	0
18	海盗前线指挥官	1	747	10	30000,51500	30000,51500	355	圣战	128	0	roico_talk002	0
