1	#FORMS_EDITOR_CLU_000012#	41,107,214	2	114,148,155	255,255,255	-1.0,-1.0,-1.0	1
2	#TABLE_AREASET_TXT_000001#	235,44,169	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
3	#TABLE_AREASET_TXT_000002#	3,33,187	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
4	#TABLE_AREASET_TXT_000003#	239,95,95	12	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
5	#TABLE_AREASET_TXT_000004#	76,252,16	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
6	#TABLE_AREASET_TXT_000005#	236,190,212	12	120,120,120	255,255,255	-1.0,-1.0,-1.0	0
7	#TABLE_AREASET_TXT_000006#	237,81,6	12	86,129,130	255,255,255	-1.0,-1.0,-1.0	0
8	#TABLE_AREASET_TXT_000007#	69,77,153	3	120,120,110	255,255,255	-1.0,-1.0,-1.0	1
9	#TABLE_AREASET_TXT_000008#	37,142,81	12	150,150,151	255,255,255	-1.0,-1.0,-1.0	0
10	#TABLE_AREASET_TXT_000009#	101,83,5	3	120,120,152	255,255,255	-1.0,-1.0,-1.0	0
11	#TABLE_AREASET_TXT_000010#	92,51,236	11	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
12	#TABLE_AREASET_TXT_000011#	63,84,22	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
13	#TABLE_AREASET_TXT_000012#	167,34,205	4	145,150,102	255,255,255	-1.0,-1.0,-1.0	1
14	#TABLE_AREASET_TXT_000013#	204,143,96	4	145,150,103	255,255,255	-1.0,-1.0,-1.0	0
15	#TABLE_AREASET_TXT_000014#	212,243,78	12	145,150,104	255,255,255	-1.0,-1.0,-1.0	0
16	#TABLE_AREASET_TXT_000015#	74,96,61	12	145,150,105	255,255,255	-1.0,-1.0,-1.0	0
17	#TABLE_AREASET_TXT_000016#	203,238,47	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
18	#TABLE_AREASET_TXT_000017#	104,22,117	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
19	#TABLE_AREASET_TXT_000018#	147,109,53	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
20	#TABLE_AREASET_TXT_000019#	51,244,13	6	110,171,199	255,255,255	-1.0,-1.0,-1.0	1
21	#TABLE_AREASET_TXT_000020#	76,230,5	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
22	#TABLE_AREASET_TXT_000021#	57,33,16	12	110,171,199	255,255,255	-1.0,-1.0,-1.0	0
23	#TABLE_AREASET_TXT_000022#	115,17,139	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
24	#TABLE_AREASET_TXT_000023#	208,161,90	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
25	#TABLE_AREASET_TXT_000024#	80,99,145	13	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
26	#TABLE_AREASET_TXT_000025#	50,216,246	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
27	#TABLE_AREASET_TXT_000026#	168,233,249	14	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
28	#TABLE_AREASET_TXT_000027#	128,114,64	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
29	#TABLE_AREASET_TXT_000028#	141,110,121	7	170,106,74	250,242,210	-1.0,-1.0,-1.0	0
30	#TABLE_AREASET_TXT_000029#	236,161,43	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
31	#TABLE_AREASET_TXT_000030#	114,54,146	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
32	#TABLE_AREASET_TXT_000031#	103,182,118	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
33	#TABLE_AREASET_TXT_000032#	53,42,234	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
34	#TABLE_AREASET_TXT_000033#	221,243,5	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
