[08-22 09:34:03]Log stream open success.
[08-22 09:50:55]online notice apprentice num:0
[08-22 09:50:55]online notice master num:0
[08-22 10:06:55]online notice apprentice num:0
[08-22 10:06:55]online notice master num:0
[08-22 10:10:00]online notice apprentice num:0
[08-22 10:10:00]online notice master num:0
[08-22 10:18:39]online notice apprentice num:0
[08-22 10:18:39]online notice master num:0
[08-22 10:21:48]online notice apprentice num:0
[08-22 10:21:48]online notice master num:0
[08-22 10:58:01]online notice apprentice num:0
[08-22 10:58:01]online notice master num:0
[08-22 11:00:50]online notice apprentice num:0
[08-22 11:00:50]online notice master num:0
[08-22 11:09:08]online notice apprentice num:0
[08-22 11:09:08]online notice master num:0
[08-22 11:13:29]online notice apprentice num:0
[08-22 11:13:29]online notice master num:0
[08-22 11:21:44]online notice apprentice num:0
[08-22 11:21:44]online notice master num:0
