[08-29 09:30:50]Log stream open success.
[08-29 09:35:17]online notice apprentice num:0
[08-29 09:35:17]online notice master num:0
[08-29 10:11:14]online notice apprentice num:0
[08-29 10:11:14]online notice master num:0
[08-29 14:58:48]online notice apprentice num:0
[08-29 14:58:48]online notice master num:0
[08-29 15:03:07]online notice apprentice num:0
[08-29 15:03:07]online notice master num:0
[08-29 15:24:14]online notice apprentice num:0
[08-29 15:24:14]online notice master num:0
[08-29 15:24:40]online notice apprentice num:0
[08-29 15:24:40]online notice master num:0
[08-29 15:44:34]online notice apprentice num:0
[08-29 15:44:34]online notice master num:0
[08-29 15:45:01]online notice apprentice num:0
[08-29 15:45:01]online notice master num:0
