[09-16 10:52:38]Log stream open success.
[09-16 17:35:52]online notice apprentice num:0
[09-16 17:35:52]online notice master num:0
[09-16 18:02:25]online notice apprentice num:0
[09-16 18:02:25]online notice master num:0
[09-16 18:07:00]online notice apprentice num:0
[09-16 18:07:00]online notice master num:0
[09-16 18:13:51]online notice apprentice num:0
[09-16 18:13:51]online notice master num:0
[09-16 18:20:15]online notice apprentice num:0
[09-16 18:20:15]online notice master num:0
[09-16 18:21:27]online notice apprentice num:0
[09-16 18:21:27]online notice master num:0
[09-16 18:22:29]online notice apprentice num:0
[09-16 18:22:29]online notice master num:0
[09-16 18:24:34]online notice apprentice num:0
[09-16 18:24:34]online notice master num:0
[09-16 18:26:55]online notice apprentice num:0
[09-16 18:26:55]online notice master num:0
[09-16 18:29:23]online notice apprentice num:0
[09-16 18:29:23]online notice master num:0
[09-16 18:31:00]online notice apprentice num:0
[09-16 18:31:00]online notice master num:0
[09-16 18:32:26]online notice apprentice num:0
[09-16 18:32:26]online notice master num:0
[09-16 18:36:44]online notice apprentice num:0
[09-16 18:36:44]online notice master num:0
[09-16 18:38:24]online notice apprentice num:0
[09-16 18:38:24]online notice master num:0
[09-16 18:47:35]online notice apprentice num:0
[09-16 18:47:35]online notice master num:0
[09-16 18:50:32]online notice apprentice num:0
[09-16 18:50:32]online notice master num:0
[09-16 18:57:25]online notice apprentice num:0
[09-16 18:57:25]online notice master num:0
[09-17 09:05:25]online notice apprentice num:0
[09-17 09:05:25]online notice master num:0
[09-17 09:08:46]online notice apprentice num:0
[09-17 09:08:46]online notice master num:0
[09-17 09:12:37]online notice apprentice num:0
[09-17 09:12:37]online notice master num:0
[09-17 09:19:05]online notice apprentice num:0
[09-17 09:19:05]online notice master num:0
[09-17 09:29:24]online notice apprentice num:0
[09-17 09:29:24]online notice master num:0
[09-17 09:39:29]online notice apprentice num:0
[09-17 09:39:29]online notice master num:0
[09-17 09:48:02]online notice apprentice num:0
[09-17 09:48:02]online notice master num:0
[09-17 09:50:27]online notice apprentice num:0
[09-17 09:50:27]online notice master num:0
[09-17 09:55:22]online notice apprentice num:0
[09-17 09:55:22]online notice master num:0
[09-17 09:56:32]online notice apprentice num:0
[09-17 09:56:32]online notice master num:0
[09-17 10:02:37]online notice apprentice num:0
[09-17 10:02:37]online notice master num:0
[09-17 10:17:16]online notice apprentice num:0
[09-17 10:17:16]online notice master num:0
[09-17 10:27:33]online notice apprentice num:0
[09-17 10:27:33]online notice master num:0
[09-17 10:29:51]online notice apprentice num:0
[09-17 10:29:51]online notice master num:0
[09-17 10:42:36]online notice apprentice num:0
[09-17 10:42:36]online notice master num:0
