[09-17 13:39:46]Log stream open success.
[09-17 14:14:47](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:14:59](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:14:59](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:16:00](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:18:55](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:19:00](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:19:00](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:20:16](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:20:45](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:20:51](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:20:51](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:21:44](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:22:11](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:22:16](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:22:16](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:27:33](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:32:39](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:32:43](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:32:44](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:34:17](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:37:18](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:37:23](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:37:23](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:38:29](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:44:10](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:44:15](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:44:15](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:48:58](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:49:32](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:49:37](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:49:37](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 14:53:37](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 14:55:52](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 14:55:57](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 14:55:57](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 15:00:09](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 15:01:29](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 15:01:34](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 15:01:34](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 15:10:20](127.0.0.1):[X3]logout,	 online/total:0/0
