[09-17 13:39:46]Log stream open success.
[09-17 14:15:00]online notice apprentice num:0
[09-17 14:15:00]online notice master num:0
[09-17 14:19:00]online notice apprentice num:0
[09-17 14:19:00]online notice master num:0
[09-17 14:20:51]online notice apprentice num:0
[09-17 14:20:51]online notice master num:0
[09-17 14:22:16]online notice apprentice num:0
[09-17 14:22:16]online notice master num:0
[09-17 14:32:44]online notice apprentice num:0
[09-17 14:32:44]online notice master num:0
[09-17 14:37:23]online notice apprentice num:0
[09-17 14:37:23]online notice master num:0
[09-17 14:44:15]online notice apprentice num:0
[09-17 14:44:15]online notice master num:0
[09-17 14:49:37]online notice apprentice num:0
[09-17 14:49:37]online notice master num:0
[09-17 14:55:57]online notice apprentice num:0
[09-17 14:55:57]online notice master num:0
[09-17 15:01:34]online notice apprentice num:0
[09-17 15:01:34]online notice master num:0
